Date,Price,Open,High,Low,Vol.,Change %
1/3/2017,11.43,11.42,11.65,11.02,55.18M,0.79%
1/4/2017,11.43,11.45,11.52,11.23,40.78M,0.00%
1/5/2017,11.24,11.43,11.69,11.23,38.86M,-1.66%
1/6/2017,11.32,11.29,11.49,11.11,34.45M,0.71%
1/9/2017,11.49,11.37,11.64,11.31,37.30M,1.50%
1/10/2017,11.44,11.55,11.63,11.33,29.20M,-0.44%
1/11/2017,11.2,11.39,11.41,11.15,39.38M,-2.10%
1/12/2017,10.76,10.98,11.04,10.33,75.24M,-3.93%
1/13/2017,10.58,10.79,10.87,10.56,38.38M,-1.67%
1/17/2017,9.82,10.17,10.23,9.78,70.49M,-7.18%
1/18/2017,9.88,9.54,10.1,9.42,51.80M,0.61%
1/19/2017,9.77,9.92,10.25,9.75,46.15M,-1.11%
1/20/2017,9.75,9.88,9.96,9.67,27.98M,-0.20%
1/23/2017,9.91,9.68,10.06,9.68,27.91M,1.64%
1/24/2017,10.44,9.95,10.49,9.95,43.99M,5.35%
1/25/2017,10.35,10.74,10.98,10.15,61.89M,-0.86%
1/26/2017,10.52,10.35,10.66,10.3,35.87M,1.64%
1/27/2017,10.67,10.6,10.73,10.52,32.72M,1.43%
1/30/2017,10.61,10.62,10.68,10.3,37.72M,-0.56%
1/31/2017,10.37,10.6,10.67,10.22,53.70M,-2.26%
2/1/2017,12.06,10.9,12.14,10.81,165.94M,16.30%
2/2/2017,12.28,11.98,12.66,11.95,116.32M,1.82%
2/3/2017,12.24,12.37,12.5,12.04,60.04M,-0.33%
2/6/2017,13.63,12.46,13.7,12.38,140.47M,11.36%
2/7/2017,13.29,14.05,14.27,13.06,158.68M,-2.49%
2/8/2017,13.56,13.21,13.75,13.08,75.94M,2.03%
2/9/2017,13.42,13.78,13.89,13.4,73.34M,-1.03%
2/10/2017,13.58,13.86,13.86,13.25,54.58M,1.19%
2/13/2017,13.49,13.7,13.95,13.38,57.41M,-0.66%
2/14/2017,13.26,13.43,13.49,13.19,40.48M,-1.70%
2/15/2017,13.3,13.2,13.44,13.15,33.72M,0.30%
2/16/2017,12.97,13.25,13.35,12.84,52.50M,-2.48%
2/17/2017,13.13,12.79,13.14,12.6,40.89M,1.23%
2/21/2017,14,13.41,14.1,13.4,66.36M,6.63%
2/22/2017,14.28,14.3,14.5,14.04,71.51M,2.00%
2/23/2017,14.32,14.2,14.45,13.82,80.32M,0.28%
2/24/2017,14.12,14,14.32,13.86,46.29M,-1.40%
2/27/2017,15.2,14.27,15.35,14.27,95.42M,7.65%
2/28/2017,14.46,15.45,15.55,14.35,141.78M,-4.87%
3/1/2017,14.96,15.08,15.09,14.52,73.45M,3.46%
3/2/2017,13.9,14.59,14.78,13.87,104.33M,-7.09%
3/3/2017,13.03,13.55,13.58,12.79,163.64M,-6.26%
3/6/2017,13.04,13,13.34,12.38,117.19M,0.08%
3/7/2017,13.05,13.07,13.37,12.79,76.67M,0.08%
3/8/2017,13.22,13.25,13.55,13.1,71.29M,1.30%
3/9/2017,13.33,13.45,13.45,13.11,45.24M,0.83%
3/10/2017,13.91,13.5,13.93,13.45,65.14M,4.35%
3/13/2017,14.28,14.48,14.68,14.18,73.08M,2.66%
3/14/2017,14.1,14,14.15,13.64,52.55M,-1.26%
3/15/2017,13.98,14.03,14.06,13.62,55.18M,-0.85%
3/16/2017,13.65,13.79,13.88,13.65,44.49M,-2.36%
3/17/2017,13.49,13.62,13.74,13.36,224.89M,-1.17%
3/20/2017,14.4,13.68,14.5,13.54,91.57M,6.75%
3/21/2017,13.82,14.4,14.49,13.78,72.55M,-4.03%
3/22/2017,14.1,13.7,14.15,13.55,61.24M,2.03%
3/23/2017,13.79,13.96,14.11,13.77,44.55M,-2.20%
3/24/2017,13.7,14.16,14.18,13.54,50.10M,-0.65%
3/27/2017,13.7,13.35,13.78,13.21,42.69M,0.00%
3/28/2017,13.69,13.75,13.86,13.55,37.42M,-0.07%
3/29/2017,13.71,13.74,13.87,13.63,37.86M,0.15%
3/30/2017,14.05,13.73,14.05,13.65,44.13M,2.48%
3/31/2017,14.55,14.1,14.75,14.01,84.57M,3.56%
4/3/2017,14.64,14.6,14.74,14.3,48.42M,0.62%
4/4/2017,14.16,14.31,14.67,14.03,58.41M,-3.28%
4/5/2017,14.17,14.28,14.64,14.1,58.82M,0.07%
4/6/2017,13.27,13.42,13.46,12.83,139.50M,-6.35%
4/7/2017,13.52,13.33,13.68,13.22,70.44M,1.88%
4/10/2017,13.1,13.52,13.59,13.04,47.18M,-3.11%
4/11/2017,13.1,13.02,13.29,12.71,59.92M,0.00%
4/12/2017,12.76,12.94,13.1,12.74,37.39M,-2.60%
4/13/2017,12.31,12.51,12.72,12.22,53.44M,-3.53%
4/17/2017,12.79,12.53,12.8,12.37,38.19M,3.90%
4/18/2017,12.95,12.63,12.97,12.58,37.17M,1.25%
4/19/2017,12.84,13.09,13.2,12.8,36.49M,-0.85%
4/20/2017,13.11,12.98,13.15,12.88,41.98M,2.10%
4/21/2017,13,13.08,13.12,12.9,25.69M,-0.84%
4/24/2017,13.13,13.23,13.23,13.05,36.12M,1.00%
4/25/2017,13.49,13.24,13.52,13.16,35.88M,2.74%
4/26/2017,13.41,13.42,13.53,13.22,36.64M,-0.59%
4/27/2017,13.62,13.43,13.7,13.37,31.33M,1.57%
4/28/2017,13.3,13.73,13.76,13.16,50.38M,-2.35%
5/1/2017,13.62,13.43,13.63,13.25,68.04M,2.41%
5/2/2017,10.32,11.73,11.76,10.3,268.34M,-24.23%
5/3/2017,10.39,10.29,10.68,9.85,140.90M,0.68%
5/4/2017,10.1,10.55,10.55,9.94,77.03M,-2.79%
5/5/2017,10.19,10.13,10.26,9.94,51.76M,0.89%
5/8/2017,10.04,10.22,10.22,10,35.10M,-1.47%
5/9/2017,10.18,10.04,10.4,10.04,51.02M,1.39%
5/10/2017,10.79,10.45,10.85,10.45,66.00M,5.99%
5/11/2017,11.07,10.74,11.26,10.51,72.95M,2.59%
5/12/2017,11.26,11.2,11.4,11.08,56.07M,1.72%
5/15/2017,11.42,11.41,11.6,11.3,52.56M,1.42%
5/16/2017,12.75,11.66,12.77,11.63,164.19M,11.65%
5/17/2017,11.2,11.81,12.29,11.16,160.11M,-12.16%
5/18/2017,11.27,10.99,11.49,10.81,86.90M,0.67%
5/19/2017,11.41,11.47,11.62,11.35,50.32M,1.20%
5/22/2017,11.04,11.49,11.55,10.77,78.70M,-3.24%
5/23/2017,10.89,10.97,11.06,10.62,49.80M,-1.36%
5/24/2017,10.89,11.05,11.06,10.71,43.03M,0.00%
5/25/2017,10.98,11.01,11.01,10.8,33.58M,0.83%
5/26/2017,11,10.85,11.02,10.74,31.91M,0.18%
5/30/2017,11.12,10.95,11.27,10.9,35.34M,1.09%
5/31/2017,11.19,11.29,11.49,11.1,42.93M,0.63%
